73.46,2013-08-28
73.99,2020-04-20
74.30,2020-06-23
80.52,2010-10-15
67.75,2020-05-29
86.53,2014-07-01
61.49,2011-05-19
65.63,2013-06-30
65.08,2013-04-10
84.84,2019-09-07
64.67,2018-04-07
71.66,2019-09-14
81.75,2013-04-27
78.46,2017-10-14
65.20,2014-07-02
82.54,2018-03-08
83.36,2020-03-04
61.94,2018-02-16
72.38,2015-01-02
85.60,2019-09-11
75.06,2018-03-01
72.99,2015-09-26
84.20,2019-09-06
66.09,2019-06-24
74.71,2018-03-04
74.60,2020-02-03
80.29,2019-12-20
74.08,2012-12-21
75.42,2014-04-03
61.78,2013-12-21
78.93,2016-05-08
64.64,2010-04-30
80.58,2018-08-03
63.95,2013-03-26
69.91,2011-04-04
75.24,2019-02-01
62.73,2013-12-27
66.24,2020-08-05
79.78,2017-09-17
70.27,2018-08-16
75.69,2016-10-15
67.97,2011-04-22
72.00,2011-01-16
66.96,2017-07-16
63.15,2010-07-12
73.16,2010-08-09
80.26,2016-01-29
89.82,2010-08-19
72.13,2010-10-03
89.23,2012-02-13
78.61,2015-10-09
85.50,2013-05-17
67.45,2017-08-16
68.90,2012-03-11
77.66,2010-08-22
89.65,2014-10-31
80.89,2012-02-24
83.83,2016-09-03
70.80,2017-04-10
79.84,2020-09-29
73.39,2014-01-17
77.67,2010-08-06
68.62,2016-01-24
61.78,2010-02-07
65.82,2017-02-28
66.36,2013-02-13
70.55,2010-03-23
86.66,2012-02-04
79.43,2016-03-28
86.23,2017-08-22
61.46,2019-07-13
87.01,2012-09-18
83.88,2012-06-15
66.98,2015-06-06
63.60,2012-06-11
70.97,2012-09-12
86.84,2015-01-17
87.83,2010-09-26
75.51,2017-03-03
76.16,2019-06-20
63.68,2018-04-29
77.41,2012-02-16
82.35,2010-03-22
66.36,2016-02-16
69.89,2011-05-24
74.66,2013-08-26
70.25,2010-04-02
62.37,2017-10-05
84.42,2016-08-09
81.11,2011-01-06
89.67,2020-10-18
80.61,2013-05-28
73.52,2016-10-06
77.23,2019-10-12
77.48,2015-02-18
86.98,2013-03-18
89.72,2019-06-08
68.51,2011-10-06
87.40,2013-03-05
61.19,2016-09-28
69.31,2018-01-01
71.18,2014-01-21
73.01,2020-08-03
63.54,2013-02-25
70.21,2015-08-16
80.19,2010-07-13
65.17,2018-03-11
86.89,2010-05-06
70.44,2011-06-05
62.13,2015-04-18
66.48,2016-04-15
64.04,2013-06-02
84.59,2012-05-21
80.84,2012-08-21
63.21,2012-03-29
64.07,2015-10-08
72.54,2014-06-17
79.07,2018-10-25
76.93,2013-03-21
87.79,2015-01-18
